,Ticker,Year,Unnamed: 0,index,Positive_Pred,Negative_Pred,Uncertainty_Pred,Litigious_Pred,Strong_Modal_Pred,Weak_Modal_Pred,Constraining_Pred,Weak Modal_Pred,Strong Modal_Pred
74,INCO,2021,11194130,15444466,0.36416184971098264,0.09826589595375723,0.32947976878612717,0.005780346820809248,0.0,0.0,0.2023121387283237,34.0,16.0
75,INCO,2022,10571796,14579702,0.4785714285714286,0.09285714285714286,0.22142857142857142,0.02142857142857143,0.0,0.0,0.18571428571428572,15.0,16.0
76,INCO,2023,10165309,14013721,0.45714285714285713,0.15714285714285714,0.2357142857142857,0.0,0.0,0.0,0.15,18.0,14.0
77,INDF,2019,4030050,5571213,0.3488372093023256,0.13953488372093023,0.3023255813953488,0.0,0.0,0.0,0.20930232558139536,7.0,3.0
78,INDF,2020,4506978,6230321,0.4,0.05,0.26666666666666666,0.0,0.0,0.0,0.2833333333333333,7.0,5.0
79,INDF,2021,3857508,5332627,0.5777777777777777,0.044444444444444446,0.2,0.0,0.0,0.0,0.17777777777777778,5.0,3.0
80,INDF,2022,3691914,5104093,0.3673469387755102,0.16326530612244897,0.32653061224489793,0.0,0.0,0.0,0.14285714285714285,3.0,2.0
81,INDF,2023,2725746,3768729,0.5142857142857142,0.14285714285714285,0.22857142857142856,0.0,0.0,0.0,0.11428571428571428,1.0,2.0
82,INKP,2019,3463328,4785278,0.21568627450980393,0.47058823529411764,0.19607843137254902,0.0,0.0,0.0,0.11764705882352941,7.0,5.0
83,INKP,2020,3135103,4331831,0.4,0.3142857142857143,0.17142857142857143,0.0,0.0,0.0,0.11428571428571428,4.0,3.0
84,INKP,2021,4049025,5595043,0.45588235294117646,0.16176470588235295,0.23529411764705882,0.0,0.0,0.0,0.14705882352941177,14.0,5.0
85,INKP,2022,4528230,6258206,0.5753424657534246,0.1232876712328767,0.1917808219178082,0.0,0.0,0.0,0.1095890410958904,17.0,6.0
86,INKP,2023,5058939,6993200,0.26262626262626265,0.31313131313131315,0.2828282828282828,0.0,0.0,0.0,0.1414141414141414,15.0,6.0
87,KLBF,2019,22005845,30348890,0.7254335260115607,0.08092485549132948,0.12716763005780346,0.0,0.0,0.0,0.06647398843930635,46.0,17.0
88,KLBF,2020,17713120,24438407,0.6045751633986928,0.14705882352941177,0.16013071895424835,0.0,0.0,0.0,0.08823529411764706,35.0,15.0
89,KLBF,2021,21723420,29983362,0.7427745664739884,0.08670520231213873,0.10404624277456648,0.0,0.0,0.0,0.06647398843930635,36.0,19.0
90,KLBF,2022,19281566,26626905,0.7637540453074434,0.0744336569579288,0.11326860841423948,0.0,0.0,0.0,0.04854368932038835,24.0,12.0
91,KLBF,2023,16234504,22427198,0.7406143344709898,0.09556313993174062,0.10921501706484642,0.0,0.0,0.0,0.05460750853242321,18.0,8.0
92,MAPI,2019,2301371,3171965,0.8125,0.0625,0.0625,0.0,0.0,0.0,0.0625,2.0,1.0
93,MAPI,2020,2692152,3710666,0.29545454545454547,0.38636363636363635,0.18181818181818182,0.0,0.0,0.0,0.13636363636363635,2.0,2.0
94,MAPI,2021,2857887,3939212,0.5,0.1956521739130435,0.15217391304347827,0.0,0.0,0.0,0.15217391304347827,5.0,4.0
95,MAPI,2022,2967205,4090338,0.7142857142857143,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,4.0,2.0
96,MAPI,2023,2796675,3855524,0.6097560975609756,0.12195121951219512,0.12195121951219512,0.0,0.0,0.0,0.14634146341463414,4.0,1.0
97,MBMA,2022,14933292,20591738,0.20434782608695654,0.04782608695652174,0.3347826086956522,0.004347826086956522,0.0,0.0,0.40869565217391307,40.0,59.0
98,MBMA,2023,15874485,21883358,0.43317972350230416,0.059907834101382486,0.2119815668202765,0.004608294930875576,0.0,0.0,0.2903225806451613,27.0,28.0
99,MDKA,2019,2819362,3886796,0.29545454545454547,0.09090909090909091,0.3181818181818182,0.0,0.0,0.0,0.29545454545454547,11.0,7.0
100,MDKA,2020,7583070,10455319,0.24427480916030533,0.1450381679389313,0.32061068702290074,0.0,0.0,0.0,0.2900763358778626,22.0,15.0
101,MDKA,2021,10426871,14378359,0.26666666666666666,0.06666666666666667,0.22666666666666666,0.0,0.0,0.0,0.44,22.0,26.0
102,MDKA,2022,10735834,14805756,0.34,0.07333333333333333,0.25333333333333335,0.0,0.0,0.0,0.3333333333333333,25.0,17.0
103,MDKA,2023,17852313,24619261,0.5076923076923077,0.07307692307692308,0.2076923076923077,0.0,0.0,0.0,0.21153846153846154,35.0,41.0
104,MEDC,2019,2138156,2948599,0.5517241379310345,0.2413793103448276,0.1724137931034483,0.0,0.0,0.0,0.034482758620689655,0.0,1.0
105,MEDC,2020,2367709,3264893,0.37777777777777777,0.28888888888888886,0.24444444444444444,0.0,0.0,0.0,0.08888888888888889,4.0,1.0
106,MEDC,2021,3115881,4296095,0.43902439024390244,0.04878048780487805,0.2926829268292683,0.0,0.0,0.0,0.21951219512195122,4.0,4.0
107,MEDC,2022,2940099,4053779,0.6666666666666666,0.08333333333333333,0.1388888888888889,0.0,0.0,0.0,0.1111111111111111,3.0,7.0
108,MEDC,2023,3513173,4842934,0.6410256410256411,0.1794871794871795,0.15384615384615385,0.0,0.0,0.0,0.02564102564102564,5.0,2.0
109,PGAS,2019,35395575,48878657,0.2508896797153025,0.2277580071174377,0.2722419928825623,0.01601423487544484,0.0,0.0,0.23309608540925267,93.0,47.0
110,PGAS,2020,29250138,40399601,0.23123732251521298,0.23935091277890466,0.2718052738336714,0.04056795131845842,0.0,0.0,0.21703853955375255,60.0,28.0
111,PGAS,2021,28655775,39582393,0.4963325183374083,0.1198044009779951,0.1980440097799511,0.02444987775061125,0.0,0.0,0.16136919315403422,43.0,25.0
112,PGAS,2022,26555595,36674899,0.5272206303724928,0.10601719197707736,0.20630372492836677,0.017191977077363897,0.0,0.0,0.14326647564469913,32.0,22.0
113,PGAS,2023,26638524,36765910,0.5130890052356021,0.13089005235602094,0.17277486910994763,0.007853403141361256,0.0,0.0,0.17539267015706805,45.0,36.0
114,PGEO,2019,6311119,8735450,0.2713178294573643,0.21705426356589147,0.27906976744186046,0.0,0.0,0.0,0.23255813953488372,8.0,9.0
115,PGEO,2020,12895476,17845794,0.2748091603053435,0.15267175572519084,0.3015267175572519,0.0,0.0,0.0,0.27099236641221375,33.0,26.0
116,PGEO,2021,15464409,21396588,0.3380281690140845,0.107981220657277,0.2347417840375587,0.004694835680751174,0.0,0.0,0.3145539906103286,28.0,23.0
117,PGEO,2022,13947545,19283784,0.36065573770491804,0.12568306010928962,0.25136612021857924,0.01639344262295082,0.0,0.0,0.2459016393442623,19.0,22.0
118,PGEO,2023,14437273,19948867,0.42035398230088494,0.10176991150442478,0.26548672566371684,0.017699115044247787,0.0,0.0,0.19469026548672566,33.0,37.0
119,PTBA,2019,24496095,33857483,0.33121019108280253,0.22929936305732485,0.21019108280254778,0.012738853503184714,0.0,0.0,0.21656050955414013,37.0,31.0
120,PTBA,2020,13938392,19265584,0.2028985507246377,0.33816425120772947,0.27053140096618356,0.0,0.0,0.0,0.18840579710144928,22.0,16.0
121,PTBA,2021,17058007,23575488,0.3739495798319328,0.13865546218487396,0.24369747899159663,0.008403361344537815,0.0,0.0,0.23529411764705882,35.0,32.0
